Date,rotor_speed,generator_speed,generator_temperature,wind_speed,power_output,relative_wind_direction,supply_voltage,blade_pitch_deg,turbine_status,yaw_offset
2025-01-15 06:00:00.000+05:30,0.64,0.13,5.83,0.67,0,27,27.7,37.03,0,0
2025-01-15 06:00:01.000+05:30,0.59,0.16,5.28,0.7,0,15,27.8,36.68,0,0
2025-01-15 06:00:02.000+05:30,0.54,1.1,6.77,2.43,0,14,27.7,37.42,0,0
2025-01-15 06:00:03.000+05:30,0.28,1.08,7.29,0.31,0,-8,27.7,36.08,0,0
2025-01-15 06:00:04.000+05:30,0.81,3.65,6.61,2.92,0,23,27.8,36.66,0,0
2025-01-15 06:00:05.000+05:30,0.89,1.81,5.58,0.21,0,-25,27.8,37.32,0,0
2025-01-15 06:00:06.000+05:30,0.87,1.9,6.36,2.5,0,12,27.6,36.07,0,0
2025-01-15 06:00:07.000+05:30,0.94,3.24,6.83,0.51,0,-6,27.6,35.49,0,0
2025-01-15 06:00:08.000+05:30,0.93,3.44,5.66,0.97,0,22,27.5,35.17,0,0
2025-01-15 06:00:09.000+05:30,0.32,1.34,5.63,2.83,0,11,27.7,35.94,0,0
2025-01-15 06:00:10.000+05:30,0.88,3.21,5.43,0.42,0,17,27.7,36.62,0,0
2025-01-15 06:00:11.000+05:30,0.9,2,5.66,2.99,0,-27,27.8,35.27,0,0
2025-01-15 06:00:12.000+05:30,0.15,0.8,7.04,1.79,0,-1,27.7,36.79,0,0
2025-01-15 06:00:13.000+05:30,0.97,4.3,5.03,2.16,0,-13,27.8,36.61,0,0
2025-01-15 06:00:14.000+05:30,0.34,1.47,5.47,0.01,0,2,27.8,37.16,0,0
2025-01-15 06:00:15.000+05:30,0.51,0.53,6.88,2.53,0,-7,27.8,35.6,0,0
2025-01-15 06:00:16.000+05:30,0.54,3.89,6.59,0,0,29,27.6,35.06,0,0
2025-01-15 06:00:17.000+05:30,0.99,4.03,5.72,0.72,0,16,27.7,35.24,0,0
2025-01-15 06:00:18.000+05:30,0.07,3.8,7.3,0.39,0,-14,27.7,36.65,0,0
2025-01-15 06:00:19.000+05:30,0.61,4.82,7.79,2.27,0,-5,27.9,37.14,0,0
2025-01-15 06:00:20.000+05:30,1.3,4.38,6.55,0.36,0,7,27.7,33.38,1,0
2025-01-15 06:00:21.000+05:30,1.18,0.07,7.12,0.18,0,-9,27.5,30.31,1,0
2025-01-15 06:00:22.000+05:30,0.48,6.69,5.64,0.4,0,0,27.6,35.71,1,0
2025-01-15 06:00:23.000+05:30,0.95,4.07,5.28,1.98,0,25,27.8,34.11,1,0
2025-01-15 06:00:24.000+05:30,1.35,9.84,5.3,1.21,0,-15,27.6,38.62,1,0
2025-01-15 06:00:25.000+05:30,1.07,1.4,5.55,1.39,0,21,27.8,30.75,1,0
2025-01-15 06:00:26.000+05:30,1.1,0.51,8,2.51,0,24,27.6,39.26,1,0
2025-01-15 06:00:27.000+05:30,0.81,4.81,7.59,2.71,0,-6,27.6,30.02,1,0
2025-01-15 06:00:28.000+05:30,1.57,4.55,6.27,2.87,0,15,27.7,35.56,1,0
2025-01-15 06:00:29.000+05:30,0.38,2.18,5.18,2.21,0,-27,27.7,33.14,1,0
2025-01-15 06:00:30.000+05:30,1.01,8.53,5.47,2.88,0,8,27.5,31.86,1,0
2025-01-15 06:00:31.000+05:30,1.72,4.04,7.82,1.71,0,-25,27.7,30.4,1,0
2025-01-15 06:00:32.000+05:30,1.17,5.23,7.8,0.61,0,-5,27.6,32.39,1,0
2025-01-15 06:00:33.000+05:30,1.29,4.57,7.79,2.81,0,6,27.9,36.21,1,0
2025-01-15 06:00:34.000+05:30,0.15,2.13,5.8,2.8,0,-7,27.6,38.79,1,0
2025-01-15 06:00:35.000+05:30,1.31,8.15,5.91,2.95,0,12,27.8,30.29,2,0
2025-01-15 06:00:36.000+05:30,0.9,9.95,7.82,0.4,0,5,27.6,26.07,2,0
2025-01-15 06:00:37.000+05:30,0.85,3.16,6.03,2.06,0,-14,27.9,30.05,2,0
2025-01-15 06:00:38.000+05:30,2.54,1.38,6.27,0.83,0,10,27.9,32.71,2,0
2025-01-15 06:00:39.000+05:30,0.48,6.63,7.12,1.68,0,14,27.9,34.45,2,0
2025-01-15 06:00:40.000+05:30,1.64,12.52,6.75,0.44,0,27,27.9,28.08,2,0
2025-01-15 06:00:41.000+05:30,2.92,0.6,6.07,2.05,0,5,27.9,28.54,2,0
2025-01-15 06:00:42.000+05:30,1.22,9.31,5.46,2.79,0,21,27.6,34.76,2,0
2025-01-15 06:00:43.000+05:30,1.24,2.69,7.77,2.35,0,17,27.8,31.7,2,0
2025-01-15 06:00:44.000+05:30,0.8,11.81,5.32,2.62,0,22,27.9,27.22,2,0
2025-01-15 06:00:45.000+05:30,1.05,12.31,7.61,0.67,0,-13,27.8,28.98,2,0
2025-01-15 06:00:46.000+05:30,2.9,4.19,6.92,1.2,0,30,27.5,30.36,2,0
2025-01-15 06:00:47.000+05:30,2.63,3.92,6.74,2.95,0,-8,27.8,30.97,2,0
2025-01-15 06:00:48.000+05:30,0.94,9.09,6.53,1.16,0,15,27.7,27.55,2,0
2025-01-15 06:00:49.000+05:30,1.56,12.1,7.06,2.82,0,-3,27.5,26.97,2,0
2025-01-15 06:00:50.000+05:30,1.33,3.3,5.94,2.54,0,-11,27.8,35.9,3,0
2025-01-15 06:00:51.000+05:30,0.65,6.97,6.66,0.58,0,17,27.9,36.14,3,0
2025-01-15 06:00:52.000+05:30,1.23,3.01,6.64,0,0,7,27.7,36.29,3,0
2025-01-15 06:00:53.000+05:30,0.64,4.42,7.03,1.53,0,17,27.6,37.88,3,0
2025-01-15 06:00:54.000+05:30,0.17,5.15,6.9,1.01,0,13,27.6,37.25,3,0
2025-01-15 06:00:55.000+05:30,1.61,1.47,5.14,2.95,0,-1,27.7,37.31,3,0
2025-01-15 06:00:56.000+05:30,1.26,1.94,7.09,1.48,0,-30,27.9,36.97,3,0
2025-01-15 06:00:57.000+05:30,1.72,8.85,7.34,0.66,0,-1,27.5,37.09,3,0
2025-01-15 06:00:58.000+05:30,0.5,8.48,6.37,2.4,0,8,27.6,37.96,3,0
2025-01-15 06:00:59.000+05:30,1.51,4.43,7.45,2.68,0,-2,27.9,37.72,3,0
2025-01-15 06:01:00.000+05:30,3.97,16.87,6.78,0.74,0.06,3,27.7,27.66,4,0
2025-01-15 06:01:01.000+05:30,1.96,16,8.14,0.7,0.03,-25,27.6,28.93,4,0
2025-01-15 06:01:02.000+05:30,1.93,22.35,8.12,0.19,0.04,-4,27.5,25.43,4,0
2025-01-15 06:01:03.000+05:30,4.33,14.74,8.31,2.84,0,6,27.7,28.81,4,0
2025-01-15 06:01:04.000+05:30,1.02,13.79,8.26,2.56,0.1,17,27.8,24.19,4,0
2025-01-15 06:01:05.000+05:30,4.2,27.45,7.46,0.82,0.05,12,27.8,23.89,4,0
2025-01-15 06:01:06.000+05:30,2.62,9.13,7.4,0.38,0.06,-5,27.7,20.27,4,0
2025-01-15 06:01:07.000+05:30,3.65,7.1,7.29,2.6,0.02,-10,27.6,22.6,4,0
2025-01-15 06:01:08.000+05:30,2.31,24.03,7.14,2.26,0.08,-25,27.7,22.52,4,0
2025-01-15 06:01:09.000+05:30,4,6.3,8.86,0.67,0.01,-28,27.8,29.57,4,0
2025-01-15 06:01:10.000+05:30,4.8,9.98,6.06,0.46,0.01,6,27.9,26.69,4,0
2025-01-15 06:01:11.000+05:30,2.86,11.41,7.11,1.82,0.1,19,27.8,27.18,4,0
2025-01-15 06:01:12.000+05:30,4.86,7.7,6.08,0.94,0.07,-5,27.9,29.58,4,0
2025-01-15 06:01:13.000+05:30,1.79,19.8,8.49,0.73,0.07,13,27.7,23.02,4,0
2025-01-15 06:01:14.000+05:30,1.48,29.6,8.35,1.04,0.04,2,27.8,23.71,4,0
2025-01-15 06:01:15.000+05:30,1.05,15.5,7.47,1.3,0.04,-1,27.8,28.92,4,0
2025-01-15 06:01:16.000+05:30,2.74,23.34,8.9,0.81,0.08,0,27.7,25.38,4,0
2025-01-15 06:01:17.000+05:30,4.3,19.81,6.97,0.74,0.09,-2,27.6,22.79,4,0
2025-01-15 06:01:18.000+05:30,2.86,20.26,7.14,0.09,0.09,-17,27.6,21.82,4,0
2025-01-15 06:01:19.000+05:30,2.03,11.99,7.79,2.64,0.06,-18,27.5,25.17,4,0
2025-01-15 06:01:20.000+05:30,4.6,19.66,8.27,2.07,0.06,20,27.5,24.91,5,0
2025-01-15 06:01:21.000+05:30,2.47,17.13,6.73,1.99,0.04,-8,27.7,25.53,5,0
2025-01-15 06:01:22.000+05:30,4.73,14.92,8.11,0.81,0.03,-18,27.6,21.21,5,0
2025-01-15 06:01:23.000+05:30,4.71,33.53,8.07,0.57,0.07,7,27.9,22.76,5,0
